                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 1.2586,                0.86245,                 1.1163,                0.97453,                0.86957,                0.92002,                 0.4686,                 1.5823,                 1.1573,                 1.4284,                0.00406,                0.00406,                0.00406
                    122,                 1.2731,                0.86557,                 1.1156,                0.97453,                0.86957,                0.92002,                 0.4686,                 1.5823,                 1.1573,                 1.4284,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.2507,                0.89107,                 1.0998,                0.98381,                0.88088,                0.91745,                0.46541,                 1.5914,                 1.2278,                 1.4208,               0.003961,               0.003961,               0.003961
                    124,                 1.4316,                0.96282,                 1.2365,                0.98381,                0.88088,                0.91745,                0.46541,                 1.5914,                 1.2278,                 1.4208,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.2108,                0.86029,                 1.1051,                0.95037,                0.83254,                0.91134,                0.48862,                 1.5644,                 1.2648,                 1.4172,               0.003862,               0.003862,               0.003862
                    126,                 1.2037,                0.83525,                 1.0749,                0.95037,                0.83254,                0.91134,                0.48862,                 1.5644,                 1.2648,                 1.4172,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.2953,                0.88526,                  1.089,                0.92011,                0.83461,                0.90982,                 0.4867,                 1.5355,                 1.2592,                 1.4025,               0.003763,               0.003763,               0.003763
                    128,                 1.2853,                0.88879,                 1.1885,                0.92011,                0.83461,                0.90982,                 0.4867,                 1.5355,                 1.2592,                 1.4025,              0.0037135,              0.0037135,              0.0037135
                    129,                  1.341,                 1.0775,                 1.2292,                0.94177,                0.78261,                0.90368,                0.49687,                 1.5694,                 1.2709,                 1.4205,               0.003664,               0.003664,               0.003664
                    130,                 1.2654,                 1.2081,                 1.2738,                0.94177,                0.78261,                0.90368,                0.49687,                 1.5694,                 1.2709,                 1.4205,              0.0036145,              0.0036145,              0.0036145
                    131,                  1.161,                0.95966,                 1.1643,                0.96327,                0.86957,                0.89778,                0.46929,                 1.6149,                 1.1689,                 1.4391,               0.003565,               0.003565,               0.003565
                    132,                 1.4803,                0.97857,                 1.1454,                0.96327,                0.86957,                0.89778,                0.46929,                 1.6149,                 1.1689,                 1.4391,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.2595,                0.81028,                 1.1423,                0.95335,                0.88858,                0.92672,                  0.499,                 1.5455,                 1.1254,                 1.3943,               0.003466,               0.003466,               0.003466
                    134,                 1.1828,                0.83581,                 1.0837,                0.95335,                0.88858,                0.92672,                  0.499,                 1.5455,                 1.1254,                 1.3943,              0.0034165,              0.0034165,              0.0034165
